City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI
Delhi,01-01-2015,313.22,607.98,36.39,15.2,9.25,41.68,472
Delhi,02-01-2015,186.18,269.55,32.87,9.54,6.65,29.97,454
Delhi,03-01-2015,87.18,131.9,30.31,10.61,2.65,19.71,143
Delhi,04-01-2015,151.84,241.84,36.91,11.54,4.63,25.36,319
Delhi,05-01-2015,146.6,219.13,34.92,9.2,3.33,23.2,325
Delhi,06-01-2015,149.58,252.1,37.84,9.44,3.66,26.83,318
Delhi,07-01-2015,217.87,376.51,40.15,9.78,5.82,28.96,353
Delhi,08-01-2015,229.9,360.95,43.16,11.01,3.31,30.51,383
Delhi,09-01-2015,201.66,397.43,38.56,11.09,3.48,32.94,375
Delhi,10-01-2015,221.02,361.74,46.39,9.7,5.91,34.12,376
Delhi,11-01-2015,205.41,393.2,47.29,10.98,5.54,50.37,379
Delhi,12-01-2015,212.41,345.63,44.71,9.3,5.17,40.08,375
Delhi,13-01-2015,197.61,301.04,45.88,11.52,5.95,39.54,366
Delhi,14-01-2015,164.39,227.38,41.17,10.32,4.85,42.05,353
Delhi,15-01-2015,166.19,283.93,56.7,10.81,6.94,43.25,340
Delhi,16-01-2015,174.98,309.99,49.41,11.46,4.69,34.7,356
Delhi,17-01-2015,196.46,356.2,53.04,8.87,5.13,25.77,360
Delhi,18-01-2015,201.51,359.75,53.77,8.99,5.43,23.22,370
Delhi,19-01-2015,183.35,305.13,39.88,9.02,4.21,25.34,362
Delhi,20-01-2015,165.63,257.04,34.23,8.03,4.11,22.69,340
Delhi,21-01-2015,159.54,235.27,22.56,9.01,7.05,18.56,338
Delhi,22-01-2015,143.68,183.89,21.82,10.58,8.64,6.94,332
Delhi,23-01-2015,128.73,136.07,17.35,8.74,6.77,10.91,254
Delhi,24-01-2015,164.98,200.02,15.77,9.39,8.89,9.35,324
Delhi,25-01-2015,148.59,203.81,20.83,11.44,5.96,16.65,333
Delhi,26-01-2015,129.34,137.86,25.66,10.19,6.78,18.18,292
Delhi,27-01-2015,154.2,217.2,30.39,10.36,6.42,17.11,318
Delhi,28-01-2015,134.6,156.9,28.6,10.21,5.21,15.23,295
Delhi,29-01-2015,173.13,277,38.34,11.74,5.53,16.29,327
Delhi,30-01-2015,178.04,272.61,38.43,11.58,6.43,14.91,345
Delhi,31-01-2015,158.59,207.06,41.36,8.7,5.03,17.51,334
Delhi,01-02-2015,211.59,371.05,58.17,13.08,9.9,23.28,358
Delhi,02-02-2015,163.64,219.84,37.25,10.59,5.31,28.38,349
Delhi,03-02-2015,157.71,194.09,31.05,8.21,5.64,28.56,334
Delhi,04-02-2015,137.26,147.08,29.69,9.11,5.06,15.07,313
Delhi,05-02-2015,131.76,127.42,36.51,8.18,4.85,21.7,262
Delhi,06-02-2015,151.6,330.99,67,5.51,9.13,33.92,303
Delhi,07-02-2015,160.75,210.52,57.69,10.28,6.91,43.44,329
Delhi,08-02-2015,145.34,215.69,50.39,5.39,8.66,30.43,323
Delhi,09-02-2015,134.67,109.86,39.18,5.11,9.7,20.62,266
Delhi,10-02-2015,153.07,218.23,42.2,10.88,5.81,19.02,319
Delhi,11-02-2015,116.91,316.14,53.63,12.64,7.54,27.17,334
Delhi,12-02-2015,177.98,394.97,42.73,13.75,9.2,25.58,342
Delhi,13-02-2015,167.01,328.43,44.61,11.26,7.77,27.62,341
Delhi,14-02-2015,193.96,412.46,53.81,11.73,9.36,34.22,377
Delhi,15-02-2015,184.06,497.37,58.15,13.78,9.13,40.91,391
Delhi,16-02-2015,152.62,310.74,44.22,11.55,6.79,34.36,358
